[General]
AudioFilename: virtual

[Metadata]
Altale
削除
siokaze
BMS, Deemo, G2R2014 Sakuzyo
31
0

[Events]
//Background and Video events
0,0,"BG.png",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples
Sample,666,0,"INSANE_into_bgm1.ogg",85
Sample,14666,0,"INSANE_into_bgm6.ogg",85
Sample,16666,0,"harp_intop - Marker #1.ogg",85
Sample,16722,0,"harp_intop - Marker #2.ogg",85
Sample,16777,0,"harp_intop - Marker #3.ogg",85
Sample,16833,0,"harp_intop - Marker #4.ogg",85
Sample,16888,0,"harp_intop - Marker #5.ogg",85
Sample,16944,0,"harp_intop - Marker #6.ogg",85
Sample,16999,0,"harp_intop - Marker #1.ogg",85
Sample,17055,0,"harp_intop - Marker #2.ogg",85
Sample,17111,0,"harp_intop - Marker #3.ogg",85
Sample,17166,0,"harp_intop - Marker #4.ogg",85
Sample,17222,0,"harp_intop - Marker #5.ogg",85
Sample,17277,0,"harp_intop - Marker #6.ogg",85
Sample,17333,0,"harp_intop - Marker #1.ogg",85
Sample,17388,0,"harp_intop - Marker #2.ogg",85
Sample,17444,0,"harp_intop - Marker #3.ogg",85
Sample,17500,0,"harp_intop - Marker #4.ogg",85
Sample,17555,0,"harp_intop - Marker #5.ogg",85
Sample,17611,0,"harp_intop - Marker #6.ogg",85
5,10666,0,"tokei1 - Marker #1.ogg",85
5,11666,0,"tokei1 - Marker #2.ogg",85
5,12666,0,"tokei1 - Marker #3.ogg",85
5,13666,0,"tokei1 - Marker #4.ogg",85
5,14666,0,"tokei1 - Marker #5.ogg",85
5,15666,0,"tokei1 - Marker #6.ogg",85
5,16666,0,"cyn1 - Marker #1.ogg",85
5,18666,0,"cyn1 - Marker #2.ogg",85
5,20666,0,"cyn1 - Marker #2.ogg",85
5,22666,0,"cyn1 - Marker #2.ogg",85
5,24666,0,"cyn1 - Marker #5.ogg",85
5,32666,0,"cyn1 - Marker #2.ogg",85
5,34666,0,"cyn1 - Marker #2.ogg",85
5,36666,0,"cyn1 - Marker #2.ogg",85
5,37666,0,"cyn1 - Marker #2.ogg",85
5,38666,0,"cyn1 - Marker #2.ogg",85
5,40666,0,"cyn1 - Marker #2.ogg",85
5,48666,0,"cyn1 - Marker #2.ogg",85
5,52666,0,"cynbal12122.ogg",85
5,53666,0,"cynbal12122.ogg",85
5,54666,0,"cynbal12122.ogg",85
5,56666,0,"cyn1 - Marker #1.ogg",85
5,64666,0,"cyn1 - Marker #1.ogg",85
5,65666,0,"cyn1 - Marker #1.ogg",85
5,66666,0,"cyn1 - Marker #1.ogg",85
5,67666,0,"cyn1 - Marker #1.ogg",85
5,68666,0,"cyn1 - Marker #1.ogg",85
5,70666,0,"cyn1 - Marker #1.ogg",85
5,72666,0,"cyn1 - Marker #1.ogg",85
5,76666,0,"cyn1 - Marker #1.ogg",85
5,82666,0,"orb1.ogg",85
5,83583,0,"kilan1.ogg",85
5,90666,0,"tokei1 - Marker #3.ogg",85
5,91666,0,"tokei1 - Marker #4.ogg",85
5,92666,0,"tokei1 - Marker #3.ogg",85
5,93666,0,"tokei1 - Marker #4.ogg",85
5,94666,0,"cynbal12122.ogg",85
5,102666,0,"cynbal12122.ogg",85
5,103666,0,"cynbal12122.ogg",85
5,104666,0,"crgs.ogg",85
5,105166,0,"crgs.ogg",85
5,105666,0,"crgs.ogg",85
5,106166,0,"crgs.ogg",85
5,106666,0,"crgs.ogg",85
5,108666,0,"cynbal12122.ogg",85
5,116666,0,"cynbal12122.ogg",85
5,117666,0,"cynbal12122.ogg",85
5,118666,0,"crgs.ogg",85
5,119166,0,"crgs.ogg",85
5,119666,0,"crgs.ogg",85
5,120166,0,"crgs.ogg",85
5,120666,0,"crgs.ogg",85
5,122666,0,"cynbal12122.ogg",85
5,124666,0,"cynbals1.ogg",85
5,141925,0,"kilan1.ogg",85

Sample,17666,0,"harp_intop - Marker #1.ogg",85
Sample,17722,0,"harp_intop - Marker #2.ogg",85
Sample,17777,0,"harp_intop - Marker #3.ogg",85
Sample,17833,0,"harp_intop - Marker #4.ogg",85
Sample,17888,0,"harp_intop - Marker #5.ogg",85
Sample,17944,0,"harp_intop - Marker #6.ogg",85
Sample,18000,0,"harp_intop - Marker #1.ogg",85
Sample,18055,0,"harp_intop - Marker #2.ogg",85
Sample,18111,0,"harp_intop - Marker #3.ogg",85
Sample,18166,0,"harp_intop - Marker #4.ogg",85
Sample,18222,0,"harp_intop - Marker #5.ogg",85
Sample,18277,0,"harp_intop - Marker #6.ogg",85
Sample,18333,0,"harp_intop - Marker #1.ogg",85
Sample,18388,0,"harp_intop - Marker #2.ogg",85
Sample,18444,0,"harp_intop - Marker #3.ogg",85
Sample,18500,0,"harp_intop - Marker #4.ogg",85
Sample,18555,0,"harp_intop - Marker #5.ogg",85
Sample,18611,0,"harp_intop - Marker #6.ogg",85
Sample,18666,0,"harp_intop - Marker #7.ogg",85
Sample,18722,0,"harp_intop - Marker #8.ogg",85
Sample,18777,0,"harp_intop - Marker #9.ogg",85
Sample,18833,0,"harp_intop - Marker #10.ogg",85
Sample,18888,0,"harp_intop - Marker #11.ogg",85
Sample,18944,0,"harp_intop - Marker #12.ogg",85
Sample,19000,0,"harp_intop - Marker #7.ogg",85
Sample,19055,0,"harp_intop - Marker #8.ogg",85
Sample,19111,0,"harp_intop - Marker #9.ogg",85
Sample,19166,0,"harp_intop - Marker #10.ogg",85
Sample,19222,0,"harp_intop - Marker #11.ogg",85
Sample,19277,0,"harp_intop - Marker #12.ogg",85
Sample,19333,0,"harp_intop - Marker #7.ogg",85
Sample,19388,0,"harp_intop - Marker #8.ogg",85
Sample,19444,0,"harp_intop - Marker #9.ogg",85
Sample,19500,0,"harp_intop - Marker #10.ogg",85
Sample,19555,0,"harp_intop - Marker #11.ogg",85
Sample,19611,0,"harp_intop - Marker #12.ogg",85
Sample,19666,0,"harp_intop - Marker #7.ogg",85
Sample,19722,0,"harp_intop - Marker #8.ogg",85
Sample,19777,0,"harp_intop - Marker #9.ogg",85
Sample,19833,0,"harp_intop - Marker #10.ogg",85
Sample,19888,0,"harp_intop - Marker #11.ogg",85
Sample,19944,0,"harp_intop - Marker #12.ogg",85
Sample,20000,0,"harp_intop - Marker #7.ogg",85
Sample,20055,0,"harp_intop - Marker #8.ogg",85
Sample,20111,0,"harp_intop - Marker #9.ogg",85
Sample,20166,0,"harp_intop - Marker #10.ogg",85
Sample,20222,0,"harp_intop - Marker #11.ogg",85
Sample,20277,0,"harp_intop - Marker #12.ogg",85
Sample,20333,0,"harp_intop - Marker #7.ogg",85
Sample,20388,0,"harp_intop - Marker #8.ogg",85
Sample,20444,0,"harp_intop - Marker #9.ogg",85
Sample,20500,0,"harp_intop - Marker #10.ogg",85
Sample,20555,0,"harp_intop - Marker #11.ogg",85
Sample,20611,0,"harp_intop - Marker #12.ogg",85
Sample,20666,0,"harp_intop - Marker #7.ogg",85
Sample,20722,0,"harp_intop - Marker #8.ogg",85
Sample,20777,0,"harp_intop - Marker #9.ogg",85
Sample,20833,0,"harp_intop - Marker #13.ogg",85
Sample,20888,0,"harp_intop - Marker #11.ogg",85
Sample,20944,0,"harp_intop - Marker #14.ogg",85
Sample,21000,0,"harp_intop - Marker #7.ogg",85
Sample,21055,0,"harp_intop - Marker #8.ogg",85
Sample,21111,0,"harp_intop - Marker #9.ogg",85
Sample,21166,0,"harp_intop - Marker #13.ogg",85
Sample,21222,0,"harp_intop - Marker #11.ogg",85
Sample,21277,0,"harp_intop - Marker #14.ogg",85
Sample,21333,0,"harp_intop - Marker #7.ogg",85
Sample,21388,0,"harp_intop - Marker #8.ogg",85
Sample,21444,0,"harp_intop - Marker #9.ogg",85
Sample,21500,0,"harp_intop - Marker #13.ogg",85
Sample,21555,0,"harp_intop - Marker #11.ogg",85
Sample,21611,0,"harp_intop - Marker #14.ogg",85
Sample,21666,0,"harp_intop - Marker #7.ogg",85
Sample,21722,0,"harp_intop - Marker #8.ogg",85
Sample,21777,0,"harp_intop - Marker #9.ogg",85
Sample,21833,0,"harp_intop - Marker #13.ogg",85
Sample,21888,0,"harp_intop - Marker #11.ogg",85
Sample,21944,0,"harp_intop - Marker #14.ogg",85
Sample,22000,0,"harp_intop - Marker #7.ogg",85
Sample,22055,0,"harp_intop - Marker #8.ogg",85
Sample,22111,0,"harp_intop - Marker #9.ogg",85
Sample,22166,0,"harp_intop - Marker #13.ogg",85
Sample,22222,0,"harp_intop - Marker #11.ogg",85
Sample,22277,0,"harp_intop - Marker #14.ogg",85
Sample,22333,0,"harp_intop - Marker #7.ogg",85
Sample,22388,0,"harp_intop - Marker #8.ogg",85
Sample,22444,0,"harp_intop - Marker #9.ogg",85
Sample,22500,0,"harp_intop - Marker #13.ogg",85
Sample,22555,0,"harp_intop - Marker #11.ogg",85
Sample,22611,0,"harp_intop - Marker #14.ogg",85
Sample,22666,0,"harp_intop - Marker #15.ogg",85
Sample,22722,0,"harp_intop - Marker #16.ogg",85
Sample,22777,0,"harp_intop - Marker #4.ogg",85
Sample,22833,0,"harp_intop - Marker #5.ogg",85
Sample,22888,0,"harp_intop - Marker #6.ogg",85
Sample,22944,0,"harp_intop - Marker #17.ogg",85
Sample,23000,0,"harp_intop - Marker #15.ogg",85
Sample,23055,0,"harp_intop - Marker #16.ogg",85
Sample,23111,0,"harp_intop - Marker #4.ogg",85
Sample,23166,0,"harp_intop - Marker #5.ogg",85
Sample,23222,0,"harp_intop - Marker #6.ogg",85
Sample,23277,0,"harp_intop - Marker #17.ogg",85
Sample,23333,0,"harp_intop - Marker #15.ogg",85
Sample,23388,0,"harp_intop - Marker #16.ogg",85
Sample,23444,0,"harp_intop - Marker #4.ogg",85
Sample,23500,0,"harp_intop - Marker #5.ogg",85
Sample,23555,0,"harp_intop - Marker #6.ogg",85
Sample,23611,0,"harp_intop - Marker #17.ogg",85
Sample,23666,0,"harp_intop - Marker #15.ogg",85
Sample,23722,0,"harp_intop - Marker #16.ogg",85
Sample,23777,0,"harp_intop - Marker #4.ogg",85
Sample,23833,0,"harp_intop - Marker #5.ogg",85
Sample,23888,0,"harp_intop - Marker #6.ogg",85
Sample,23944,0,"harp_intop - Marker #17.ogg",85
Sample,24000,0,"harp_intop - Marker #18.ogg",85
Sample,24055,0,"harp_intop - Marker #19.ogg",85
Sample,24111,0,"harp_intop - Marker #9.ogg",85
Sample,24166,0,"harp_intop - Marker #10.ogg",85
Sample,24222,0,"harp_intop - Marker #20.ogg",85
Sample,24277,0,"harp_intop - Marker #12.ogg",85
Sample,24333,0,"harp_intop - Marker #18.ogg",85
Sample,24388,0,"harp_intop - Marker #19.ogg",85
Sample,24444,0,"harp_intop - Marker #9.ogg",85
Sample,24500,0,"harp_intop - Marker #10.ogg",85
Sample,24555,0,"harp_intop - Marker #20.ogg",85
Sample,24611,0,"harp_intop - Marker #12.ogg",85
Sample,24666,0,"strin_x1 - Marker #1.ogg",85
Sample,24666,0,"kick1 - Marker #4.ogg",85
Sample,24666,0,"acor1 - Marker #1.ogg",85
Sample,25000,0,"acor1 - Marker #2.ogg",85
Sample,25000,0,"strin_x1 - Marker #2.ogg",85
Sample,25333,0,"strin_x1 - Marker #3.ogg",85
Sample,25333,0,"acor1 - Marker #3.ogg",85
Sample,25666,0,"strin_x1 - Marker #4.ogg",85
Sample,25666,0,"record1 - Marker #4.ogg",85
Sample,25666,0,"acor1 - Marker #1.ogg",85
Sample,25666,0,"kick1 - Marker #5.ogg",85
Sample,26000,0,"record1 - Marker #5.ogg",85
Sample,26000,0,"acor1 - Marker #2.ogg",85
Sample,26000,0,"strin_x1 - Marker #2.ogg",85
Sample,26333,0,"acor1 - Marker #3.ogg",85
Sample,26333,0,"strin_x1 - Marker #3.ogg",85
Sample,26333,0,"record1 - Marker #6.ogg",85
Sample,26666,0,"acor1 - Marker #7.ogg",85
Sample,26666,0,"strin_x1 - Marker #7.ogg",85
Sample,26666,0,"kick1 - Marker #4.ogg",85
Sample,27000,0,"acor1 - Marker #8.ogg",85
Sample,27000,0,"strin_x1 - Marker #8.ogg",85
Sample,27333,0,"strin_x1 - Marker #9.ogg",85
Sample,27333,0,"acor1 - Marker #9.ogg",85
Sample,27666,0,"record1 - Marker #10.ogg",85
Sample,27666,0,"kick1 - Marker #5.ogg",85
Sample,27666,0,"acor1 - Marker #10.ogg",85
Sample,27666,0,"strin_x1 - Marker #10.ogg",85
Sample,28000,0,"acor1 - Marker #11.ogg",85
Sample,28000,0,"strin_x1 - Marker #11.ogg",85
Sample,28000,0,"record1 - Marker #11.ogg",85
