[General]
AudioFilename: virtual

[Metadata]
Title:Lyrith -迷宮リリス-
Artist:LeaF
Creator:Eleventh
Tags:bms of fighters Lyrith -Meikyuu Lyrith-
Version:62

[Events]
//Background and Video events
0,0,"background.jpg",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples
Sample,1355,0,"harp1_1.ogg",70
Sample,1355,0,"bgm2.ogg",70
Sample,3898,0,"harp1_8.ogg",70
Sample,3898,0,"piano1_5.ogg",70
Sample,3983,0,"harp1_9.ogg",70
Sample,3983,0,"piano1_6.ogg",70
Sample,4025,0,"noiz1.ogg",100
Sample,4067,0,"piano1_7.ogg",70
Sample,5084,0,"harp1_11.ogg",70
Sample,5423,0,"harp1_12.ogg",70
Sample,5762,0,"piano1_16.ogg",70
Sample,5762,0,"celesta1_1.ogg",70
Sample,6101,0,"piano1_17.ogg",70
Sample,6101,0,"celesta1_2.ogg",70
Sample,6101,0,"harp1_13.ogg",70
Sample,6440,0,"celesta1_3.ogg",70
Sample,6440,0,"piano1_18.ogg",70
Sample,9491,0,"celesta1_12.ogg",70
Sample,9491,0,"bell1.ogg",70
Sample,10169,0,"celesta1_8.ogg",70
Sample,10847,0,"bell2.ogg",70
Sample,10847,0,"celesta1_13.ogg",70
Sample,11525,0,"celesta1_14.ogg",70
Sample,12203,0,"bgm10.ogg",70
Sample,13220,0,"piano3_1.ogg",70
Sample,13276,0,"piano3_2.ogg",70
Sample,13283,0,"vios1_1_001.ogg",100
Sample,13326,0,"vios1_1_002.ogg",100
Sample,13333,0,"piano3_3.ogg",70
Sample,13389,0,"piano2_3.ogg",70
Sample,13446,0,"piano2_5.ogg",70
Sample,13453,0,"vios1_1_004.ogg",100
Sample,13495,0,"vios1_1_005.ogg",100
Sample,13502,0,"piano2_6.ogg",70
Sample,13559,0,"vios1_2.ogg",70
Sample,13559,0,"piano3_4.ogg",70
Sample,13559,0,"celesta1_15.ogg",70
Sample,13559,0,"bell4.ogg",70
Sample,13559,0,"piavalo1_1.ogg",70
Sample,13559,0,"vios1_4.ogg",70
Sample,13728,0,"vios1_8.ogg",70
Sample,13728,0,"celesta1_16.ogg",70
Sample,13813,0,"vios1_5.ogg",70
Sample,13898,0,"celesta1_5.ogg",70
Sample,13898,0,"vios1_7.ogg",70
Sample,14067,0,"vios1_8.ogg",70
Sample,14067,0,"celesta1_17.ogg",70
Sample,14067,0,"piavalo1_2.ogg",70
Sample,14152,0,"piavalo1_2.ogg",70
Sample,14237,0,"vios1_4.ogg",70
Sample,14237,0,"celesta1_15.ogg",70
Sample,14237,0,"piavalo1_1.ogg",70
Sample,14237,0,"vios1_3.ogg",70
Sample,14406,0,"celesta1_16.ogg",70
Sample,14406,0,"vios1_8.ogg",70
Sample,14491,0,"vios1_5.ogg",70
Sample,14576,0,"celesta1_5.ogg",70
Sample,14576,0,"vios1_7.ogg",70
Sample,14745,0,"kick8_1.ogg",70
Sample,14745,0,"celesta1_17.ogg",70
Sample,14745,0,"vios1_8.ogg",70
Sample,14745,0,"piavalo1_2.ogg",70
Sample,14830,0,"piavalo1_2.ogg",70
Sample,14915,0,"piano3_5.ogg",70
Sample,14915,0,"vios1_9.ogg",70
Sample,14915,0,"piavalo1_1.ogg",70
Sample,14915,0,"kick8_1.ogg",70
Sample,14915,0,"celesta1_15.ogg",70
Sample,15084,0,"synth1_012.ogg",70
Sample,15084,0,"celesta1_16.ogg",70
Sample,15254,0,"piavalo1_3.ogg",70
Sample,15254,0,"vios1_10.ogg",70
Sample,15254,0,"synth1_013.ogg",70
Sample,15254,0,"piano3_6.ogg",70
Sample,15254,0,"celesta1_5.ogg",70
Sample,15423,0,"vios1_11.ogg",70
Sample,15423,0,"piano3_7.ogg",70
Sample,15423,0,"celesta1_17.ogg",70
Sample,15423,0,"synth1_014.ogg",70
Sample,15423,0,"piavalo1_4.ogg",70
Sample,15593,0,"piavalo1_5.ogg",70
Sample,15593,0,"synth1_015.ogg",70
Sample,15593,0,"celesta1_15.ogg",70
Sample,15593,0,"vios1_12.ogg",70
Sample,15593,0,"piano3_8.ogg",70
Sample,15762,0,"celesta1_16.ogg",70
Sample,15932,0,"celesta1_5.ogg",70
Sample,16101,0,"celesta1_17.ogg",70
Sample,16101,0,"vios1_13_000.ogg",70
Sample,16158,0,"vios1_13_001.ogg",70
Sample,16214,0,"vios1_13_002.ogg",70
Sample,16271,0,"piano3_9.ogg",100
Sample,16271,0,"kick4_1.ogg",70
Sample,16271,0,"celesta1_15.ogg",70
Sample,16271,0,"bell4.ogg",70
Sample,16271,0,"piavalo1_1.ogg",70
Sample,16440,0,"vios1_8.ogg",70
Sample,16440,0,"celesta1_16.ogg",70
Sample,16440,0,"piano3_10.ogg",70
Sample,16440,0,"vios1_13_004.ogg",70
Sample,16525,0,"piano3_10.ogg",70
Sample,16525,0,"vios1_13_005.ogg",70
Sample,16525,0,"vios1_5.ogg",70
Sample,16610,0,"vios1_13_006.ogg",70
Sample,16610,0,"vios1_7.ogg",70
Sample,16610,0,"celesta1_5.ogg",70
Sample,16610,0,"piano3_11.ogg",70
Sample,16779,0,"kick8_1.ogg",70
Sample,16779,0,"celesta1_17.ogg",70
Sample,16779,0,"vios1_8.ogg",70
Sample,16779,0,"vios1_13_012.ogg",70
Sample,16779,0,"piano3_10.ogg",70
Sample,16779,0,"piavalo1_2.ogg",70
Sample,16864,0,"piavalo1_2.ogg",70
Sample,16949,0,"kick4_1.ogg",70
Sample,16949,0,"piavalo1_1.ogg",70
Sample,16949,0,"celesta1_15.ogg",70
Sample,17118,0,"vios1_8.ogg",70
Sample,17118,0,"piano3_10.ogg",70
Sample,17118,0,"celesta1_16.ogg",70
Sample,17118,0,"vios1_13_004.ogg",70
Sample,17203,0,"vios1_5.ogg",70
Sample,17203,0,"piano3_10.ogg",70
Sample,17203,0,"vios1_13_005.ogg",70
Sample,17288,0,"vios1_7.ogg",70
Sample,17288,0,"celesta1_5.ogg",70
Sample,17288,0,"vios1_13_006.ogg",70
Sample,17288,0,"piano3_11.ogg",70
Sample,17457,0,"piavalo1_6.ogg",70
Sample,17457,0,"celesta1_17.ogg",70
Sample,17457,0,"vios1_13_012.ogg",70
Sample,17457,0,"piano3_10.ogg",70
Sample,17457,0,"vios1_8.ogg",70
Sample,17542,0,"piavalo1_6.ogg",70
Sample,17627,0,"piavalo1_7.ogg",70
Sample,17627,0,"vios1_14.ogg",70
Sample,17627,0,"synth1_028.ogg",70
Sample,17627,0,"celesta1_3.ogg",70
Sample,17627,0,"piano2_9.ogg",70
Sample,17711,0,"piano2_12.ogg",70
Sample,17796,0,"piano2_13.ogg",70
Sample,17796,0,"kick8_1.ogg",70
Sample,17881,0,"piano2_12.ogg",70
Sample,17966,0,"celesta1_18.ogg",70
Sample,17966,0,"piano2_8.ogg",70
Sample,17966,0,"piavalo1_8.ogg",70
Sample,17966,0,"synth1_029.ogg",70
Sample,17966,0,"vios1_15.ogg",70
Sample,17966,0,"kick16_1.ogg",70
Sample,18050,0,"piano2_9.ogg",70
Sample,18050,0,"kick8_1.ogg",70
Sample,18135,0,"piano2_12.ogg",70
Sample,18135,0,"celesta1_5.ogg",70
Sample,18135,0,"synth1_030.ogg",70
Sample,18135,0,"vios1_16.ogg",70
Sample,18135,0,"piavalo1_9.ogg",70
Sample,18220,0,"piano2_9.ogg",70
Sample,18220,0,"kick16_1.ogg",70
Sample,18305,0,"kick8_1.ogg",70
Sample,18305,0,"celesta1_18.ogg",70
Sample,18305,0,"piano2_5.ogg",70
Sample,18305,0,"piavalo1_10.ogg",70
Sample,18305,0,"synth1_031.ogg",70
Sample,18305,0,"vios1_17.ogg",70
Sample,18389,0,"piavalo1_11.ogg",70
Sample,18389,0,"piano2_8.ogg",70
Sample,18389,0,"synth1_032.ogg",70
Sample,18474,0,"kick8_1.ogg",70
Sample,18474,0,"synth1_033.ogg",70
Sample,18474,0,"piano2_9.ogg",70
Sample,18474,0,"piavalo1_12.ogg",70
Sample,18559,0,"synth1_034.ogg",70
Sample,18559,0,"piavalo1_11.ogg",70
Sample,18559,0,"piano2_8.ogg",70
Sample,18644,0,"piavalo1_13.ogg",70
Sample,18644,0,"celesta1_5.ogg",70
Sample,18644,0,"synth1_035.ogg",70
Sample,18644,0,"piano2_6.ogg",70
Sample,18813,0,"piavalo1_14.ogg",70
Sample,18813,0,"celesta1_17.ogg",70
Sample,18813,0,"kick8_1.ogg",70
Sample,18813,0,"synth1_036.ogg",70
Sample,18813,0,"piano2_5.ogg",70
Sample,18983,0,"celesta1_15.ogg",70
Sample,18983,0,"hat_L.ogg",70
Sample,18983,0,"vios1_25.ogg",70
Sample,18983,0,"piano2_3.ogg",70
Sample,18983,0,"bell4.ogg",70
Sample,18983,0,"synth1_037.ogg",70
Sample,19067,0,"hat_L.ogg",70
Sample,19152,0,"piavalo1_16.ogg",70
Sample,19152,0,"celesta1_16.ogg",70
Sample,19152,0,"vios1_27.ogg",70
Sample,19152,0,"synth1_038.ogg",70
Sample,19237,0,"hat_R.ogg",70
Sample,19237,0,"vios1_27.ogg",70
Sample,19237,0,"synth1_039.ogg",70
Sample,19322,0,"hat_L.ogg",70
Sample,19322,0,"celesta1_5.ogg",70
Sample,19322,0,"synth1_040.ogg",70
Sample,19322,0,"snare4_1.ogg",70
Sample,19406,0,"hat_L.ogg",70
Sample,19491,0,"celesta1_17.ogg",70
Sample,19491,0,"piavalo1_16.ogg",70
Sample,19491,0,"vios1_27.ogg",70
Sample,19491,0,"synth1_041.ogg",70
Sample,19576,0,"hat_R.ogg",70
Sample,19661,0,"celesta1_15.ogg",70
Sample,19661,0,"hat_L.ogg",70
Sample,19661,0,"synth1_042.ogg",70
Sample,19745,0,"hat_L.ogg",70
Sample,19830,0,"celesta1_16.ogg",70
Sample,19830,0,"synth1_043.ogg",70
Sample,19830,0,"piavalo1_16.ogg",70
Sample,19830,0,"vios1_27.ogg",70
Sample,19915,0,"vios1_27.ogg",70
Sample,19915,0,"hat_R.ogg",70
Sample,19915,0,"synth1_044.ogg",70
Sample,20000,0,"hat_L.ogg",70
Sample,20000,0,"snare4_1.ogg",70
Sample,20000,0,"celesta1_5.ogg",70
Sample,20000,0,"synth1_045.ogg",70
Sample,20084,0,"hat_L.ogg",70
Sample,20169,0,"vios1_27.ogg",70
Sample,20169,0,"celesta1_17.ogg",70
Sample,20169,0,"synth1_046.ogg",70
Sample,20254,0,"hat_R.ogg",70
Sample,20338,0,"synth1_047.ogg",70
Sample,20338,0,"celesta1_15.ogg",70
Sample,20338,0,"piavalo1_15.ogg",70
Sample,20338,0,"hat_L.ogg",70
Sample,20423,0,"hat_L.ogg",70
Sample,20508,0,"vios1_27.ogg",70
Sample,20508,0,"celesta1_16.ogg",70
Sample,20508,0,"synth1_048.ogg",70
Sample,20508,0,"piavalo1_16.ogg",70
Sample,20593,0,"synth1_049.ogg",70
Sample,20593,0,"vios1_27.ogg",70
Sample,20593,0,"hat_R.ogg",70
Sample,20677,0,"vios1_28.ogg",70
Sample,20677,0,"piavalo1_17.ogg",70
Sample,20677,0,"synth1_050.ogg",70
Sample,20677,0,"hat_L.ogg",70
Sample,20677,0,"celesta1_5.ogg",70
Sample,20677,0,"snare4_1.ogg",70
Sample,20762,0,"hat_L.ogg",70
Sample,20847,0,"celesta1_17.ogg",70
Sample,20847,0,"vios1_27.ogg",70
Sample,20847,0,"piavalo1_16.ogg",70
Sample,20847,0,"synth1_051.ogg",70
Sample,20932,0,"hat_R.ogg",70
Sample,21016,0,"hat_L.ogg",70
Sample,21016,0,"piavalo1_15.ogg",70
Sample,21016,0,"synth1_042.ogg",70
Sample,21016,0,"celesta1_15.ogg",70
Sample,21016,0,"vios1_26.ogg",70
Sample,21101,0,"hat_L.ogg",70
Sample,21186,0,"celesta1_16.ogg",70
Sample,21186,0,"hat_o.ogg",70
Sample,21186,0,"synth1_043.ogg",70
Sample,21186,0,"piavalo1_16.ogg",70
Sample,21186,0,"vios1_27.ogg",70
Sample,21271,0,"vios1_27.ogg",70
Sample,21271,0,"synth1_044.ogg",70
Sample,21271,0,"hat_R.ogg",70
Sample,21355,0,"vios1_28.ogg",70
Sample,21355,0,"celesta1_5.ogg",70
Sample,21355,0,"synth1_045.ogg",70
Sample,21355,0,"piavalo1_18.ogg",70
Sample,21355,0,"snare4_1.ogg",70
Sample,21355,0,"hat_L.ogg",70
Sample,21440,0,"hat_L.ogg",70
Sample,21525,0,"vios1_27.ogg",70
Sample,21525,0,"piano2_8.ogg",70
Sample,21525,0,"celesta1_17.ogg",70
Sample,21525,0,"synth1_046.ogg",70
