[General]
AudioFilename: virtual

[Metadata]
Title:Re：End of a Dream
Artist:uma vs. モリモリあつし
Creator:inava
Tags:bms of fighters
Version:75

[Events]
//Background and Video events
0,0,"bg.png",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples
Sample,30,0,"psgpulse_down_000.ogg",70
Sample,30,0,"psgpulse+triangle_002.ogg",70
Sample,171,0,"psgpulse_down_003.ogg",70
Sample,171,0,"psgpulse+triangle_002.ogg",70
Sample,313,0,"psgpulse+triangle_002.ogg",70
Sample,313,0,"psgpulse_down_007.ogg",70
Sample,454,0,"psgpulse_down_002.ogg",70
Sample,454,0,"psgpulse+triangle_006.ogg",70
Sample,596,0,"psgpulse_down_006.ogg",70
Sample,596,0,"psgpulse+triangle_006.ogg",70
Sample,737,0,"psgpulse+triangle_006.ogg",70
Sample,737,0,"psgpulse_down_009.ogg",70
Sample,879,0,"psgpulse+triangle_009.ogg",70
Sample,879,0,"psgpulse_down_011.ogg",70
Sample,1020,0,"psgpulse_down_014.ogg",70
Sample,1020,0,"psgpulse+triangle_009.ogg",70
Sample,1303,0,"psgpulse+triangle_009.ogg",70
Sample,1303,0,"psgpulse_down_007.ogg",70
Sample,2294,0,"psgpulse_down_000.ogg",70
Sample,2435,0,"psgpulse_down_003.ogg",70
Sample,2577,0,"psgpulse_down_007.ogg",70
Sample,2718,0,"psgpulse_down_002.ogg",70
Sample,2860,0,"psgpulse_down_006.ogg",70
Sample,3001,0,"psgpulse_down_009.ogg",70
Sample,3143,0,"psgpulse_down_011.ogg",70
Sample,3284,0,"psgpulse_down_014.ogg",70
Sample,3567,0,"psgpulse_down_007.ogg",70
Sample,4558,0,"psgpulse_down_000.ogg",70
Sample,4699,0,"psgpulse_down_003.ogg",70
Sample,4841,0,"psgpulse_down_007.ogg",70
Sample,4982,0,"psgpulse_down_002.ogg",70
Sample,5124,0,"psgpulse_down_006.ogg",70
Sample,5265,0,"psgpulse_down_009.ogg",70
Sample,5407,0,"psgpulse_down_011.ogg",70
Sample,5548,0,"psgpulse_down_014.ogg",70
Sample,5831,0,"psgpulse_up_028.ogg",70
Sample,8096,0,"psgpulse_down_007.ogg",70
Sample,8096,0,"psgpulse+triangle_009.ogg",70
Sample,8520,0,"bgm-01.ogg",70
Sample,9086,0,"pia_006.ogg",100
Sample,9086,0,"imp-01.ogg",70
Sample,9511,0,"uma_synth_024.ogg",100
Sample,9652,0,"rd2.ogg",70
Sample,10218,0,"rd2.ogg",70
Sample,10784,0,"rd2.ogg",70
Sample,11333,0,"tamblp_002.ogg",70
Sample,11633,0,"tamblp_003.ogg",70
Sample,11775,0,"pia_012.ogg",100
Sample,11775,0,"tamblp_004.ogg",100
Sample,11916,0,"rd2.ogg",70
Sample,12199,0,"tamblp_005.ogg",70
Sample,12482,0,"rd2.ogg",70
Sample,12624,0,"uma_synth_019.ogg",100
Sample,12765,0,"pia_230.ogg",70
Sample,12907,0,"rd2.ogg",70
Sample,13190,0,"uma_synth_011.ogg",100
Sample,13331,0,"pia_292.ogg",70
Sample,13331,0,"rev.ogg",70
Sample,13473,0,"pia_105.ogg",70
Sample,13473,0,"pia_255.ogg",70
Sample,13614,0,"tamblp_000.ogg",70
Sample,13614,0,"rd2.ogg",70
Sample,13756,0,"pia_026.ogg",70
Sample,13897,0,"pia_292.ogg",70
Sample,14039,0,"uma_synth_015.ogg",100
Sample,14039,0,"pia_012.ogg",100
Sample,14463,0,"tamblp_001.ogg",70
Sample,14463,0,"pia_116.ogg",70
Sample,14746,0,"pia_302.ogg",70
Sample,14746,0,"rd2.ogg",70
Sample,14888,0,"pia_059.ogg",70
Sample,15029,0,"pia_255.ogg",70
Sample,15171,0,"uma_synth_005.ogg",100
Sample,15171,0,"pia_116.ogg",100
Sample,15171,0,"pia_274.ogg",100
Sample,15313,0,"rd2.ogg",70
Sample,15596,0,"pia_274.ogg",70
Sample,15596,0,"pia_230.ogg",100
Sample,15861,0,"tamblp_002.ogg",70
Sample,15879,0,"pia_006.ogg",70
Sample,15879,0,"rd2.ogg",70
Sample,16020,0,"uma_synth_032.ogg",100
Sample,16020,0,"pia_026.ogg",70
Sample,16162,0,"pia_274.ogg",70
Sample,16162,0,"tamblp_003.ogg",70
Sample,16303,0,"tamblp_004.ogg",70
Sample,16445,0,"rd2.ogg",70
Sample,16728,0,"tamblp_005mt2.ogg",70
Sample,16728,0,"pia_116.ogg",70
Sample,16869,0,"pia_230.ogg",70
Sample,16940,0,"uma_synth_017.ogg",100
Sample,17011,0,"pia_sp_000.ogg",70
Sample,18143,0,"uma_synth_031.ogg",100
Sample,18143,0,"kick_blue_rollhead.ogg",100
Sample,18284,0,"uma_synth_020.ogg",70
Sample,18355,0,"uma_synth_032.ogg",100
Sample,18355,0,"uma_synth_020.ogg",70
Sample,18426,0,"lp_002.ogg",70
Sample,18426,0,"cymbals14.ogg",70
Sample,18426,0,"pia_043.ogg",70
Sample,18426,0,"guitar_bgm.ogg",70
Sample,18426,0,"rd8.ogg",70
Sample,18426,0,"hit-01.ogg",70
Sample,18426,0,"fximp.ogg",70
Sample,18426,0,"tamblp_001mt.ogg",70
Sample,18567,0,"rd8.ogg",70
Sample,18567,0,"lp_003.ogg",70
Sample,18709,0,"rd8.ogg",70
Sample,18709,0,"lp_004.ogg",70
Sample,18850,0,"rd8.ogg",70
Sample,18850,0,"lp_005.ogg",70
Sample,18992,0,"pia_088.ogg",70
Sample,18992,0,"rd8.ogg",70
Sample,18992,0,"lp_006.ogg",70
Sample,19133,0,"pia_105.ogg",70
Sample,19133,0,"lp_007.ogg",70
Sample,19133,0,"rd8.ogg",70
Sample,19275,0,"lp_008.ogg",70
Sample,19275,0,"pia_021.ogg",100
Sample,19416,0,"pia_059.ogg",70
Sample,19416,0,"lp_009.ogg",70
Sample,19416,0,"rd8.ogg",70
Sample,19487,0,"uma_synth_001.ogg",100
Sample,19558,0,"lp_010.ogg",70
Sample,19558,0,"rd8.ogg",70
Sample,19558,0,"pia_091.ogg",70
Sample,19699,0,"rd8.ogg",70
Sample,19699,0,"lp_011.ogg",70
Sample,19841,0,"lp_012.ogg",70
Sample,19841,0,"rd8.ogg",70
Sample,19982,0,"lp_013.ogg",70
Sample,19982,0,"rd8.ogg",70
Sample,19982,0,"kick_purple_nr.ogg",100
Sample,19982,0,"pia_127.ogg",100
Sample,20124,0,"lp_014.ogg",70
Sample,20124,0,"rd8.ogg",70
Sample,20265,0,"lp_015.ogg",70
Sample,20265,0,"rd8.ogg",70
Sample,20389,0,"tamblp_002.ogg",70
Sample,20407,0,"rd8.ogg",70
Sample,20407,0,"lp_000.ogg",70
Sample,20548,0,"lp_001.ogg",70
Sample,20548,0,"rd8.ogg",70
Sample,20619,0,"uma_synth_032.ogg",100
Sample,20690,0,"pia_043.ogg",70
Sample,20690,0,"lp_002.ogg",70
Sample,20690,0,"rd8.ogg",70
Sample,20690,0,"tamblp_003.ogg",70
Sample,20831,0,"tamblp_004.ogg",70
Sample,20831,0,"lp_003.ogg",70
Sample,20831,0,"rd8.ogg",70
Sample,20973,0,"lp_004.ogg",70
Sample,20973,0,"rd8.ogg",70
Sample,21114,0,"lp_005.ogg",70
Sample,21114,0,"rd8.ogg",70
Sample,21256,0,"rd8.ogg",70
Sample,21256,0,"lp_006.ogg",70
Sample,21256,0,"tamblp_005.ogg",70
Sample,21397,0,"rd8.ogg",70
Sample,21397,0,"lp_007.ogg",70
Sample,21539,0,"lp_008.ogg",70
Sample,21539,0,"rd8.ogg",70
Sample,21680,0,"rd8.ogg",70
Sample,21680,0,"lp_009.ogg",70
Sample,21822,0,"rd8.ogg",70
Sample,21822,0,"uma_synth_016.ogg",100
Sample,21822,0,"lp_010.ogg",70
Sample,21963,0,"lp_011.ogg",70
Sample,21963,0,"rd8.ogg",70
Sample,22105,0,"rd8.ogg",70
Sample,22105,0,"pia_294.ogg",100
Sample,22105,0,"lp_012.ogg",70
Sample,22152,0,"pia_277.ogg",100
Sample,22199,0,"pia_237.ogg",100
Sample,22246,0,"lp_013.ogg",70
Sample,22246,0,"pia_088.ogg",100
Sample,22246,0,"rd8.ogg",70
Sample,22317,0,"pia_179.ogg",100
Sample,22388,0,"snare_vd2.ogg",70
Sample,22388,0,"lp_014.ogg",70
Sample,22388,0,"rd8.ogg",70
Sample,22482,0,"uma_synth_007.ogg",70
Sample,22529,0,"rd8.ogg",70
Sample,22529,0,"lp_015.ogg",70
Sample,22529,0,"pia_105.ogg",70
Sample,22671,0,"pia_006.ogg",70
Sample,22671,0,"tamblp_000.ogg",70
Sample,22671,0,"rd8.ogg",70
Sample,22671,0,"lp_000.ogg",70
Sample,22671,0,"kick_purple_nr.ogg",100
Sample,22813,0,"lp_001.ogg",70
Sample,22813,0,"rd8.ogg",70
Sample,22813,0,"pia_026.ogg",70
Sample,22954,0,"pia_302.ogg",70
Sample,22954,0,"lp_002.ogg",70
Sample,22954,0,"rd8.ogg",70
Sample,22954,0,"pia_043.ogg",70
Sample,23096,0,"rd8.ogg",70
Sample,23096,0,"uma_synth_015.ogg",100
Sample,23096,0,"lp_003.ogg",70
Sample,23237,0,"rd8.ogg",70
Sample,23379,0,"rd8.ogg",70
Sample,23379,0,"pia_051.ogg",70
Sample,23379,0,"lp_005.ogg",70
Sample,23520,0,"tamblp_001.ogg",70
Sample,23520,0,"rd8.ogg",70
Sample,23520,0,"snare_vd2.ogg",70
Sample,23520,0,"pia_116.ogg",70
Sample,23520,0,"lp_006.ogg",70
Sample,23662,0,"lp_007.ogg",70
Sample,23662,0,"rd8.ogg",70
Sample,23803,0,"lp_008.ogg",70
Sample,23803,0,"pia_021.ogg",70
Sample,23803,0,"rd8.ogg",70
Sample,23874,0,"pia_220.ogg",100
Sample,23945,0,"pia_059.ogg",70
Sample,23945,0,"rd8.ogg",70
Sample,23945,0,"lp_009.ogg",70
Sample,24086,0,"pia_129.ogg",70
Sample,24086,0,"pia_284.ogg",70
Sample,24086,0,"snare_vd2.ogg",70
Sample,24086,0,"rd8.ogg",70
Sample,24086,0,"lp_010.ogg",70
Sample,24104,0,"pia_292.ogg",100
Sample,24228,0,"pia_116.ogg",100
Sample,24228,0,"kick_purple_nr.ogg",100
Sample,24228,0,"rd8.ogg",70
Sample,24228,0,"lp_011.ogg",70
Sample,24369,0,"lp_012.ogg",70
Sample,24369,0,"rd8.ogg",70
Sample,24511,0,"rd8.ogg",70
Sample,24511,0,"lp_013.ogg",70
Sample,24652,0,"lp_014.ogg",70
Sample,24652,0,"pia_101.ogg",70
Sample,24652,0,"rd8.ogg",70
Sample,24794,0,"rd8.ogg",70
Sample,24794,0,"lp_015.ogg",70
Sample,24917,0,"tamblp_002.ogg",70
Sample,24935,0,"rd8.ogg",70
Sample,24935,0,"lp_000.ogg",70
Sample,24935,0,"pia_006.ogg",70
Sample,24935,0,"pia_196.ogg",100
Sample,25077,0,"lp_001.ogg",70
Sample,25077,0,"rd8.ogg",70
Sample,25077,0,"uma_synth_020.ogg",100
Sample,25077,0,"pia_026.ogg",70
Sample,25077,0,"pia_178.ogg",100
Sample,25077,0,"uma_synth_032.ogg",70
Sample,25147,0,"pia_186.ogg",100
Sample,25147,0,"uma_synth_020.ogg",100
Sample,25147,0,"uma_synth_032.ogg",70
Sample,25218,0,"tamblp_003.ogg",70
Sample,25218,0,"rd8.ogg",70
Sample,25218,0,"pia_196.ogg",70
Sample,25218,0,"lp_002.ogg",70
Sample,25218,0,"snare_vd4.ogg",70
Sample,25360,0,"lp_003.ogg",70
Sample,25360,0,"tamblp_004.ogg",70
Sample,25360,0,"rd8.ogg",70
Sample,25360,0,"uma_synth_024.ogg",70
Sample,25360,0,"pia_012.ogg",70
Sample,25360,0,"pia_178.ogg",100
Sample,25430,0,"pia_186.ogg",100
Sample,25501,0,"lp_004.ogg",70
Sample,25501,0,"rd8.ogg",70
Sample,25643,0,"rd8.ogg",70
Sample,25643,0,"lp_005.ogg",70
Sample,25643,0,"pia_051.ogg",70
Sample,25643,0,"pia_178.ogg",100
Sample,25784,0,"tamblp_005mt2.ogg",70
Sample,25784,0,"pia_116.ogg",70
Sample,25784,0,"rd8.ogg",70
Sample,25784,0,"lp_006.ogg",70
Sample,25784,0,"uma_synth_016.ogg",70
Sample,25926,0,"pia_105.ogg",70
Sample,25926,0,"pia_178.ogg",70
Sample,25926,0,"rd8.ogg",70
Sample,25926,0,"lp_007.ogg",70
Sample,26067,0,"kick_purple_nr.ogg",100
Sample,26067,0,"pia_147.ogg",70
Sample,26209,0,"pia_047.ogg",70
Sample,26350,0,"pia_061.ogg",70
