[General]
AudioFilename: virtual

[Metadata]
Title:squartatrice
Artist:美樹さやか vs. 美樹さやか (fw. 美樹さやか)
Creator:inava
Version:53
Tags:mahou shoujo madoka magica bms of fighters

[Events]
//Background and Video events
0,0,"night.jpg",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples
Sample,0,0,"bgm1.ogg",70
Sample,2666,0,"tp2_45.ogg",70
Sample,3000,0,"tp1_34.ogg",100
Sample,3500,0,"tp1_26.ogg",100
Sample,4000,0,"tp1_32.ogg",100
Sample,4500,0,"tp1_26.ogg",100
Sample,6666,0,"tp2_46.ogg",70
Sample,8500,0,"tp1_26.ogg",100
Sample,8666,0,"tp2_40.ogg",70
Sample,9000,0,"tp1_32.ogg",100
Sample,9500,0,"tp1_28.ogg",100
Sample,9666,0,"tp2_41.ogg",70
Sample,10000,0,"tp1_32.ogg",100
Sample,10333,0,"tp1_31.ogg",100
Sample,10500,0,"tp1_26.ogg",100
Sample,10666,0,"tp2_39.ogg",70
Sample,10666,0,"tp2_22.ogg",70
Sample,11000,0,"string_a1_02.ogg",100
Sample,11000,0,"string_b1_02.ogg",100
Sample,11000,0,"tp1_34.ogg",100
Sample,11000,0,"tp2_14.ogg",70
Sample,11166,0,"tp2_16.ogg",70
Sample,11333,0,"tp2_17.ogg",70
Sample,11500,0,"string_b1_03.ogg",100
Sample,11500,0,"tp1_26.ogg",100
Sample,11500,0,"tp2_18.ogg",70
Sample,11500,0,"string_a1_03.ogg",100
Sample,11666,0,"tp2_37.ogg",70
Sample,11666,0,"tp2_19.ogg",70
Sample,11833,0,"tp2_16.ogg",70
Sample,12000,0,"string_a1_05.ogg",100
Sample,12000,0,"tp2_19.ogg",70
Sample,12000,0,"tp1_32.ogg",100
Sample,12000,0,"string_b1_05.ogg",100
Sample,12166,0,"tp2_20.ogg",70
Sample,12333,0,"tp2_19.ogg",70
Sample,12500,0,"tp2_18.ogg",70
Sample,12500,0,"string_a1_06.ogg",100
Sample,12500,0,"string_b1_06.ogg",100
Sample,12500,0,"tp1_26.ogg",100
Sample,12666,0,"tp2_17.ogg",70
Sample,12666,0,"tp2_35.ogg",70
Sample,12833,0,"tp1_26.ogg",70
Sample,13000,0,"string_b1_08.ogg",100
Sample,13000,0,"tp2_03.ogg",100
Sample,13000,0,"string_a1_08.ogg",100
Sample,13000,0,"tp1_28.ogg",100
Sample,13166,0,"tp1_26.ogg",70
Sample,13250,0,"tp2_06.ogg",100
Sample,13500,0,"tp2_19.ogg",100
Sample,13500,0,"string_b1_09.ogg",100
Sample,13500,0,"tp1_26.ogg",100
Sample,13500,0,"string_a1_09.ogg",100
Sample,13666,0,"tp2_36.ogg",70
Sample,13666,0,"tp2_18.ogg",70
Sample,13833,0,"tp2_19.ogg",70
Sample,14000,0,"tp2_20.ogg",70
Sample,14000,0,"tp1_32.ogg",100
Sample,14000,0,"string_b1_11.ogg",100
Sample,14000,0,"string_a1_11.ogg",100
Sample,14166,0,"tp2_19.ogg",70
Sample,14333,0,"tp2_18.ogg",70
Sample,14500,0,"string_a1_12.ogg",100
Sample,14500,0,"tp2_16.ogg",70
Sample,14500,0,"tp1_26.ogg",100
Sample,14500,0,"string_b1_12.ogg",100
Sample,14666,0,"tp2_15.ogg",70
Sample,14666,0,"tp2_37.ogg",70
Sample,14833,0,"tp2_13.ogg",70
Sample,15000,0,"string_a1_14.ogg",100
Sample,15000,0,"tp1_30.ogg",100
Sample,15000,0,"tp2_15.ogg",70
Sample,15000,0,"string_b1_14.ogg",100
Sample,15166,0,"tp2_16.ogg",70
Sample,15333,0,"tp2_17.ogg",70
Sample,15500,0,"string_a1_15.ogg",100
Sample,15500,0,"tp1_28.ogg",100
Sample,15500,0,"string_b1_15.ogg",100
Sample,15500,0,"tp2_18.ogg",70
Sample,15666,0,"tp2_19.ogg",70
Sample,15666,0,"tp2_35.ogg",70
Sample,15833,0,"tp2_15.ogg",70
Sample,16000,0,"tp2_20.ogg",70
Sample,16000,0,"string_b1_17.ogg",100
Sample,16000,0,"string_a1_17.ogg",100
Sample,16000,0,"tp1_34.ogg",100
Sample,16166,0,"tp2_15.ogg",70
Sample,16333,0,"tp2_19.ogg",70
Sample,16500,0,"string_b1_18.ogg",100
Sample,16500,0,"tp2_15.ogg",70
Sample,16500,0,"string_a1_18.ogg",100
Sample,16500,0,"tp1_26.ogg",100
Sample,16666,0,"tp2_20.ogg",70
Sample,16666,0,"tp2_36.ogg",70
Sample,16833,0,"tp2_16.ogg",70
Sample,16999,0,"tp2_19.ogg",70
Sample,17166,0,"tp2_16.ogg",70
Sample,17333,0,"tp1_34.ogg",70
Sample,17499,0,"tp2_16.ogg",70
Sample,17666,0,"tp2_41.ogg",70
Sample,17666,0,"tp2_21.ogg",70
Sample,17833,0,"tp2_16.ogg",70
Sample,17999,0,"tp2_20.ogg",70
Sample,18166,0,"tp2_16.ogg",70
Sample,18333,0,"tp2_18.ogg",70
Sample,18499,0,"tp2_16.ogg",70
Sample,18666,0,"tp2_22.ogg",70
Sample,18999,0,"tp2_14.ogg",70
Sample,19166,0,"tp2_16.ogg",70
Sample,19333,0,"tp2_17.ogg",70
Sample,19499,0,"tp2_18.ogg",70
Sample,19666,0,"tp2_19.ogg",70
Sample,19833,0,"tp2_16.ogg",70
Sample,19999,0,"tp2_19.ogg",70
Sample,20166,0,"tp2_20.ogg",70
Sample,20333,0,"tp2_19.ogg",70
Sample,20499,0,"tp2_18.ogg",70
Sample,20666,0,"tp2_17.ogg",70
Sample,20833,0,"tp2_01.ogg",70
Sample,20916,0,"tp2_02.ogg",70
Sample,21333,0,"tp2_20.ogg",70
Sample,21499,0,"tp2_19.ogg",70
Sample,21666,0,"tp2_18.ogg",70
Sample,21833,0,"tp2_19.ogg",70
Sample,21999,0,"tp2_20.ogg",70
Sample,22166,0,"tp2_19.ogg",70
Sample,22333,0,"tp2_18.ogg",70
Sample,22499,0,"tp2_16.ogg",70
Sample,22666,0,"tp2_15.ogg",70
Sample,22833,0,"tp2_13.ogg",70
Sample,22999,0,"tp2_15.ogg",70
Sample,23166,0,"tp2_16.ogg",70
Sample,23333,0,"tp2_17.ogg",70
Sample,23499,0,"tp2_18.ogg",70
Sample,23666,0,"tp2_19.ogg",70
Sample,23833,0,"tp2_15.ogg",70
Sample,23999,0,"tp2_20.ogg",70
Sample,24166,0,"tp2_15.ogg",70
Sample,24333,0,"tp2_19.ogg",70
Sample,24499,0,"tp2_15.ogg",70
Sample,24666,0,"blow52.ogg",70
Sample,25999,0,"tp1_13.ogg",100
Sample,26333,0,"viola_a_01.ogg",100
Sample,26333,0,"bd_r.ogg",70
Sample,26416,0,"viola_a_02.ogg",100
Sample,26499,0,"viola_a_03.ogg",100
Sample,26583,0,"viola_a_04.ogg",100
Sample,26666,0,"tp2_12.ogg",70
Sample,26666,0,"pshu-n.ogg",70
Sample,26666,0,"roop_a_1.ogg",70
Sample,26666,0,"tp2_17.ogg",70
Sample,26666,0,"ride.ogg",70
Sample,26749,0,"alp_a_001.ogg",100
Sample,26749,0,"roop_a_2.ogg",70
Sample,26833,0,"roop_a_3.ogg",70
Sample,26833,0,"roop_b_01.ogg",70
Sample,26833,0,"tp2_14.ogg",70
Sample,26916,0,"roop_a_4.ogg",70
Sample,26999,0,"tp2_17.ogg",70
Sample,26999,0,"ride.ogg",70
Sample,26999,0,"roop_a_1.ogg",70
Sample,26999,0,"roop_b_02.ogg",70
Sample,27083,0,"roop_a_2.ogg",70
Sample,27083,0,"alp_a_005.ogg",100
Sample,27166,0,"tp2_12.ogg",70
Sample,27166,0,"roop_a_3.ogg",70
Sample,27166,0,"tp2_18.ogg",70
Sample,27249,0,"roop_a_4.ogg",70
Sample,27333,0,"tp2_17.ogg",70
Sample,27333,0,"roop_a_1.ogg",70
Sample,27333,0,"ride.ogg",70
Sample,27416,0,"roop_a_2.ogg",70
Sample,27416,0,"alp_a_009.ogg",100
Sample,27499,0,"tp2_14.ogg",70
Sample,27499,0,"roop_a_3.ogg",70
Sample,27583,0,"roop_a_4.ogg",70
Sample,27666,0,"roop_a_1.ogg",70
Sample,27666,0,"tp2_09.ogg",70
Sample,27666,0,"tp2_17.ogg",70
Sample,27666,0,"ride.ogg",70
Sample,27749,0,"roop_a_2.ogg",70
Sample,27749,0,"alp_a_013.ogg",100
Sample,27833,0,"roop_a_3.ogg",70
Sample,27833,0,"tp2_14.ogg",70
Sample,27916,0,"roop_a_4.ogg",70
Sample,27999,0,"ride.ogg",70
Sample,27999,0,"tp2_17.ogg",70
Sample,27999,0,"roop_b_02.ogg",70
Sample,27999,0,"roop_a_1.ogg",70
Sample,28083,0,"roop_a_2.ogg",70
Sample,28083,0,"alp_a_017.ogg",100
Sample,28166,0,"tp2_18.ogg",70
Sample,28166,0,"roop_a_3.ogg",70
Sample,28166,0,"tp2_09.ogg",70
Sample,28249,0,"roop_a_4.ogg",70
Sample,28333,0,"tp2_17.ogg",70
Sample,28333,0,"roop_a_1.ogg",70
Sample,28333,0,"ride.ogg",70
Sample,28416,0,"roop_a_2.ogg",70
Sample,28416,0,"alp_a_021.ogg",100
Sample,28499,0,"tp2_14.ogg",70
Sample,28499,0,"roop_a_3.ogg",70
Sample,28583,0,"roop_a_4.ogg",70
Sample,28666,0,"ride.ogg",70
Sample,28666,0,"roop_a_1.ogg",70
Sample,28666,0,"tp2_07.ogg",70
Sample,28666,0,"tp2_17.ogg",70
Sample,28749,0,"roop_a_2.ogg",70
Sample,28749,0,"alp_a_025.ogg",100
Sample,28833,0,"tp2_14.ogg",70
Sample,28833,0,"roop_a_3.ogg",70
Sample,28916,0,"roop_a_4.ogg",70
Sample,28999,0,"roop_b_02.ogg",70
Sample,28999,0,"ride.ogg",70
Sample,28999,0,"tp2_17.ogg",70
Sample,28999,0,"roop_a_1.ogg",70
Sample,29083,0,"roop_a_2.ogg",70
Sample,29083,0,"alp_a_029.ogg",100
Sample,29166,0,"roop_a_3.ogg",70
Sample,29166,0,"tp2_18.ogg",70
Sample,29166,0,"tp2_07.ogg",70
Sample,29249,0,"roop_a_4.ogg",70
Sample,29333,0,"ride.ogg",70
Sample,29333,0,"tp2_17.ogg",70
Sample,29333,0,"roop_a_1.ogg",70
Sample,29416,0,"roop_a_2.ogg",70
Sample,29416,0,"alp_a_033.ogg",100
Sample,29499,0,"tp2_14.ogg",70
Sample,29499,0,"roop_a_3.ogg",70
Sample,29583,0,"roop_a_4.ogg",70
Sample,29666,0,"tp2_17.ogg",70
Sample,29666,0,"tp2_08.ogg",70
Sample,29666,0,"roop_a_1.ogg",70
Sample,29666,0,"ride.ogg",70
Sample,29749,0,"roop_a_2.ogg",70
Sample,29749,0,"alp_a_037.ogg",100
Sample,29833,0,"tp2_14.ogg",70
Sample,29833,0,"roop_a_3.ogg",70
Sample,29916,0,"roop_a_4.ogg",70
Sample,29999,0,"roop_a_1.ogg",70
Sample,29999,0,"ride.ogg",70
Sample,29999,0,"tp2_17.ogg",70
Sample,30083,0,"alp_a_041.ogg",100
Sample,30083,0,"roop_a_2.ogg",70
Sample,30166,0,"tp2_18.ogg",70
Sample,30166,0,"tp2_08.ogg",70
Sample,30166,0,"roop_a_3.ogg",70
Sample,30249,0,"roop_a_4.ogg",70
Sample,30333,0,"tp2_19.ogg",70
Sample,30333,0,"roop_a_1.ogg",70
Sample,30333,0,"ride.ogg",70
Sample,30416,0,"roop_a_2.ogg",70
Sample,30499,0,"roop_a_3.ogg",70
Sample,30499,0,"tp2_18.ogg",70
Sample,30583,0,"roop_a_4.ogg",70
Sample,30583,0,"tp1_15.ogg",100
Sample,30666,0,"ride.ogg",70
Sample,30666,0,"tp2_09.ogg",70
Sample,30666,0,"tp2_17.ogg",70
Sample,30666,0,"roop_a_1.ogg",70
Sample,30749,0,"roop_a_2.ogg",70
Sample,30833,0,"tp2_14.ogg",70
Sample,30833,0,"roop_a_3.ogg",70
Sample,30916,0,"roop_a_4.ogg",70
Sample,30999,0,"tp2_17.ogg",70
Sample,30999,0,"roop_a_1.ogg",70
Sample,30999,0,"ride.ogg",70
Sample,30999,0,"roop_b_02.ogg",70
Sample,31083,0,"roop_a_2.ogg",70
Sample,31166,0,"roop_a_3.ogg",70
Sample,31166,0,"tp2_09.ogg",70
Sample,31166,0,"tp2_18.ogg",70
Sample,31249,0,"roop_a_4.ogg",70
Sample,31333,0,"tp2_17.ogg",70
Sample,31333,0,"roop_a_1.ogg",70
Sample,31333,0,"ride.ogg",70
Sample,31416,0,"roop_a_2.ogg",70
Sample,31499,0,"roop_a_3.ogg",70
